Algorithm;TreeLength;Problem;testR2;trainingR2;time;Evaluations;Generations;Fold;Rows;Columns;ModelLength;ModelDepth;Threshold
OSGA (ContPruning mit Simplifizierung);20;1096_FacultySalaries.tsv;0,999996874881182;0,999827072398967;01:20:05.8130000;487966;52;5;50;5;23;10;0
OSGA (ContPruning mit Simplifizierung);20;1096_FacultySalaries.tsv;0,845805605736084;0,999996160620772;01:20:05.8130000;594566;100;6;50;5;32;9;0
OSGA (ContPruning mit Simplifizierung);20;1096_FacultySalaries.tsv;0,999995770821498;0,999817649434326;01:20:05.8130000;403566;32;7;50;5;24;9;0
OSGA (ContPruning mit Simplifizierung);20;1096_FacultySalaries.tsv;0,999975769149052;0,999938368473668;01:20:05.8130000;672766;66;8;50;5;24;10;0
OSGA (ContPruning mit Simplifizierung);20;1096_FacultySalaries.tsv;0,999974093296679;0,999880431134536;01:20:05.8130000;275566;26;9;50;5;24;10;0
OSGA (ContPruning mit Simplifizierung);20;1089_USCrime.tsv;0,956833498974584;0,976151323594204;01:43:54.2660000;1044266;100;0;47;14;24;10;0
OSGA (ContPruning mit Simplifizierung);20;1089_USCrime.tsv;0,99077790435156;0,97916663995564;01:43:54.2660000;895666;100;1;47;14;24;8;0
OSGA (ContPruning mit Simplifizierung);20;1089_USCrime.tsv;0,857804432089478;0,96007389116694;01:43:54.2660000;863066;100;2;47;14;24;8;0
OSGA (ContPruning mit Simplifizierung);20;1089_USCrime.tsv;0,654731058770293;0,976840257109697;01:43:54.2660000;928066;82;3;47;14;24;10;0
OSGA (ContPruning mit Simplifizierung);20;1089_USCrime.tsv;0,969616561873496;0,962288114153537;01:43:54.2660000;731066;100;4;47;14;24;9;0
OSGA (ContPruning mit Simplifizierung);20;1089_USCrime.tsv;0,925945295787961;0,980378434091115;01:43:54.2660000;528266;67;5;47;14;20;7;0
OSGA (ContPruning mit Simplifizierung);20;1089_USCrime.tsv;0,930222917220604;0,973794480919526;01:43:54.2660000;1132766;100;6;47;14;24;9;0
OSGA (ContPruning mit Simplifizierung);20;1089_USCrime.tsv;0,90088395941486;0,983009897430801;01:43:54.2660000;558566;100;7;47;14;35;8;0
OSGA (ContPruning mit Simplifizierung);20;1089_USCrime.tsv;0,824706334502877;0,975059034198344;01:43:54.2660000;386366;100;8;47;14;26;8;0
OSGA (ContPruning mit Simplifizierung);20;1089_USCrime.tsv;0,899927480597572;0,971671359563252;01:43:54.2660000;566166;100;9;47;14;29;8;0
OSGA (ContPruning mit Simplifizierung);20;195_auto_price.tsv;0,969624857801465;0,93999589469049;03:00:06.7470000;332666;37;0;159;16;23;10;0
OSGA (ContPruning mit Simplifizierung);20;195_auto_price.tsv;0,865775922910239;0,948807616458886;03:00:06.7470000;815466;71;1;159;16;24;10;0
OSGA (ContPruning mit Simplifizierung);20;195_auto_price.tsv;0,797916314354375;0,936737908066732;03:00:06.7470000;781666;66;2;159;16;24;10;0
OSGA (ContPruning mit Simplifizierung);20;195_auto_price.tsv;0,775596035416933;0,949948587238359;03:00:06.7470000;1107266;100;3;159;16;24;9;0
OSGA (ContPruning mit Simplifizierung);20;195_auto_price.tsv;0,788559128336521;0,950691868069636;03:00:06.7470000;792366;100;4;159;16;24;9;0
OSGA (ContPruning mit Simplifizierung);20;195_auto_price.tsv;0,955644057472014;0,932355335510434;03:00:06.7470000;353966;40;5;159;16;23;9;0
OSGA (ContPruning mit Simplifizierung);20;195_auto_price.tsv;0,751980899865662;0,942076617320308;03:00:06.7470000;1142566;100;6;159;16;24;9;0
OSGA (ContPruning mit Simplifizierung);20;195_auto_price.tsv;0,928045595806212;0,946895904796061;03:00:06.7470000;1194366;100;7;159;16;24;10;0
OSGA (ContPruning mit Simplifizierung);20;195_auto_price.tsv;0,856371163478085;0,946932307246451;03:00:06.7470000;1158366;100;8;159;16;24;8;0
OSGA (ContPruning mit Simplifizierung);20;195_auto_price.tsv;0,972421215753113;0,94558640871407;03:00:06.7470000;691566;100;9;159;16;24;11;0
OSGA (ContPruning mit Simplifizierung);20;485_analcatdata_vehicle.tsv;0,436643273467939;0,921353294335649;01:27:41.4560000;281166;23;0;48;5;25;9;0
OSGA (ContPruning mit Simplifizierung);20;485_analcatdata_vehicle.tsv;0,962565481669298;0,915855773585694;01:27:41.4560000;233766;25;1;48;5;24;12;0
OSGA (ContPruning mit Simplifizierung);20;485_analcatdata_vehicle.tsv;0,951342091264723;0,902902783921465;01:27:41.4560000;908866;100;2;48;5;24;9;0
OSGA (ContPruning mit Simplifizierung);20;485_analcatdata_vehicle.tsv;0,993369798785314;0,970124287282989;01:27:41.4560000;553666;47;3;48;5;24;10;0
OSGA (ContPruning mit Simplifizierung);20;485_analcatdata_vehicle.tsv;0,998027228150988;0,931910487564521;01:27:41.4560000;647466;69;4;48;5;23;10;0
OSGA (ContPruning mit Simplifizierung);20;485_analcatdata_vehicle.tsv;0,810262652283338;0,885196423989131;01:27:41.4560000;431666;39;5;48;5;24;10;0
OSGA (ContPruning mit Simplifizierung);20;485_analcatdata_vehicle.tsv;0,848637041295396;0,9225901437402;01:27:41.4560000;930766;100;6;48;5;24;11;0
OSGA (ContPruning mit Simplifizierung);20;485_analcatdata_vehicle.tsv;0,923293351625539;0,870311676488284;01:27:41.4560000;710666;65;7;48;5;25;10;0
OSGA (ContPruning mit Simplifizierung);20;485_analcatdata_vehicle.tsv;0,828489543172407;0,926443361096509;01:27:41.4560000;927066;86;8;48;5;24;11;0
OSGA (ContPruning mit Simplifizierung);20;485_analcatdata_vehicle.tsv;0,906169656137699;0,953101326778171;01:27:41.4560000;900866;100;9;48;5;24;9;0
OSGA (ContPruning mit Simplifizierung);20;505_tecator.tsv;0,995140135545856;0,998945215573154;02:42:06.5530000;597466;100;0;240;125;24;7;0
OSGA (ContPruning mit Simplifizierung);20;505_tecator.tsv;0,997919280562669;0,998545428313304;02:42:06.5530000;596166;100;1;240;125;20;7;0
OSGA (ContPruning mit Simplifizierung);20;505_tecator.tsv;0,997477440641864;0,998127821664421;02:42:06.5530000;281666;24;2;240;125;21;5;0
OSGA (ContPruning mit Simplifizierung);20;505_tecator.tsv;0,99784035057343;0,998488196780455;02:42:06.5530000;673466;100;3;240;125;24;7;0
OSGA (ContPruning mit Simplifizierung);20;505_tecator.tsv;0,99848978621999;0,998523013278656;02:42:06.5530000;677966;86;4;240;125;23;8;0
OSGA (ContPruning mit Simplifizierung);20;505_tecator.tsv;0,997905416218298;0,998478075609149;02:42:06.5530000;337866;46;5;240;125;23;9;0
OSGA (ContPruning mit Simplifizierung);20;505_tecator.tsv;0,998390449669822;0,998367790056478;02:42:06.5530000;937766;100;6;240;125;24;9;0
OSGA (ContPruning mit Simplifizierung);20;505_tecator.tsv;0,999198373857162;0,998578311874251;02:42:06.5530000;741066;100;7;240;125;24;8;0
OSGA (ContPruning mit Simplifizierung);20;505_tecator.tsv;0,991950071680796;0,998674326752671;02:42:06.5530000;856266;100;8;240;125;24;9;0
OSGA (ContPruning mit Simplifizierung);20;505_tecator.tsv;0,997858199366926;0,998463067105265;02:42:06.5530000;804766;88;9;240;125;22;8;0
OSGA (ContPruning mit Simplifizierung);20;519_vinnie.tsv;0,633195232392701;0,77870774131234;02:42:27.3990000;467266;100;0;380;3;29;9;0
OSGA (ContPruning mit Simplifizierung);20;519_vinnie.tsv;0,789745974914269;0,766555994291492;02:42:27.3990000;252766;20;1;380;3;24;10;0
OSGA (ContPruning mit Simplifizierung);20;519_vinnie.tsv;0,637570873302347;0,776488548400036;02:42:27.3990000;377166;100;2;380;3;29;9;0
OSGA (ContPruning mit Simplifizierung);20;519_vinnie.tsv;0,730295911860857;0,771951873200607;02:42:27.3990000;371666;41;3;380;3;20;7;0
OSGA (ContPruning mit Simplifizierung);20;519_vinnie.tsv;0,789138158069617;0,766159738550978;02:42:27.3990000;257666;37;4;380;3;22;9;0
OSGA (ContPruning mit Simplifizierung);20;519_vinnie.tsv;0,628428296920728;0,784491788176995;02:42:27.3990000;645866;100;5;380;3;31;10;0
OSGA (ContPruning mit Simplifizierung);20;519_vinnie.tsv;0,826835545924011;0,756893752468495;02:42:27.3990000;267666;100;6;380;3;26;11;0
OSGA (ContPruning mit Simplifizierung);20;519_vinnie.tsv;0,780906995593972;0,760799465274111;02:42:27.3990000;273566;22;7;380;3;23;11;0
OSGA (ContPruning mit Simplifizierung);20;519_vinnie.tsv;0,757207256138685;0,769379551019894;02:42:27.3990000;762866;100;8;380;3;24;10;0
OSGA (ContPruning mit Simplifizierung);20;519_vinnie.tsv;0,802175271546527;0,758308129841086;02:42:27.3990000;241566;19;9;380;3;21;10;0
OSGA (ContPruning mit Simplifizierung);20;522_pm10.tsv;0,321910341059133;0,341013839332343;04:40:24.0740000;302266;100;0;500;8;30;15;0
OSGA (ContPruning mit Simplifizierung);20;522_pm10.tsv;0,32144666217542;0,35262483258217;04:40:24.0740000;428466;37;1;500;8;24;12;0
OSGA (ContPruning mit Simplifizierung);20;522_pm10.tsv;0,209073773930337;0,357734096644533;04:40:24.0740000;294966;27;2;500;8;26;9;0
OSGA (ContPruning mit Simplifizierung);20;522_pm10.tsv;0,178431550720092;0,388296582215729;04:40:24.0740000;1052466;100;3;500;8;27;11;0
OSGA (ContPruning mit Simplifizierung);20;522_pm10.tsv;0,197653017858553;0,335888118228641;04:40:24.0740000;683866;100;4;500;8;24;9;0
OSGA (ContPruning mit Simplifizierung);20;522_pm10.tsv;0,265863908592191;0,386056430915226;04:40:24.0740000;657266;100;5;500;8;29;8;0
OSGA (ContPruning mit Simplifizierung);20;522_pm10.tsv;0,524379571831058;0,315779651382097;04:40:24.0740000;246366;100;6;500;8;25;9;0
OSGA (ContPruning mit Simplifizierung);20;522_pm10.tsv;0,266348430198594;0,385861437465859;04:40:24.0740000;863966;72;7;500;8;23;10;0
